SOE_18,COMNAME,Fed_Managed
Other,"CLAM,BLOOD ARC",NA
Other,"CLAM,RAZOR,ATLANTIC",NA
Other,"CLAM,SOFT",NA
Other,"CLAM,STOUT TAGELUS (BAMBOO)",NA
Other,"CLAMS,HARD",NA
Piscivore,CLEARNOSE SKATE,NEFMC
Other,CLINID UNCL,NA
Other,COARSEHAND LADY CRAB,NA
Other,COBIA,NA
Other,COCOA DAMSELFISH,NA
Other,CODLINGS,NA
Other,COMBTOOTH BLENNY UNCL,NA
Other,COMMON OCTOPUS,NA
Other,COMMON SNOOK,NA
Other,CONEJO,NA
Other,CONGER EEL,NA
Other,CONGER EEL UNCL,NA
Other,"CORALS,SOFT,NK",NA
Other,CORNETFISH UNCL,NA
Other,COTTONMOUTH JACK,NA
Other,COWNOSE RAY,NA
Other,"CRAB,HERMIT",NA
Other,"CRAB,JAPANESE SHORE",NA
Benthivore,"CRAB,RED DEEPSEA",NEFMC
Other,"CRAB,UNC",NA
Other,CRAPPIE,NA
Other,CREOLE WRASSE,NA
Other,CREOLE-FISH,NA
Other,CRESTED BLENNY,NA
Other,CRESTED CUSK-EEL,NA
Other,CREVALLE JACK,NA
Other,CRIMSON BASS,NA
Other,"CRUSTACEANS,UNC",NA
Other,CUBAN ANCHOVY,NA
Other,CUBBYU,NA
Benthivore,CUNNER,NA
Planktivore,CUSK,NA
Other,CUSK-EEL UNCL,NA
Other,DAMSELFISH UNCL,NA
Other,DAUBED SHANNY,NA
Other,DEEPBODY BOARFISH,NA
Other,DEEPWATER DAB,NA
Other,DEEPWATER FLOUNDER,NA
Other,DEEPWATER SQUIRRELFISH,NA
Other,DOCTORFISH,NA
Other,DOG SNAPPER,NA
Other,"DOGFISH,UNC",NA
Other,DOLPHIN,NA
Other,DOLPHINFISH,NA
Other,"DORY,NK",NA
Other,DOTTEREL FILEFISH,NA
Other,DRUM UNCL,NA
Other,"DRUM,FRESHWATER",NA
Other,DUCK-BILL SHELL UNCL,NA
Other,DULSE,NA
Other,DUSKY ANCHOVY,NA
Other,DUSKY FLOUNDER,NA
Other,DUSKY PIPEFISH,NA
Other,DUSKY SHARK,NA
Other,DUSKY SQUIRRELFISH,NA
Other,DWARF GOATFISH,NA
Other,DWARF HERRING,NA
Other,DWARF SAND PERCH,NA
Other,EEL UNCL,NA
Other,"EEL,CUTTHROAT",NA
Other,EELPOUT UNCL,NA
Other,EMERALD PARROTFISH,NA
Other,ESCOLAR,NA
Other,ETROPUS UNCL,NA
Other,EYED FLOUNDER,NA
Other,FALSE IRISH MOSS,NA
Other,FALSE QUAHOG,NA
Other,FANTAIL MULLET,NA
Other,FAT SLEEPER,NA
Other,FAWN CUSK-EEL,NA
Other,FEATHER BLENNY,NA
Other,FINETOOTH SHARK,NA
Other,FINGERED KELP,NA
Other,FINLESS EEL,NA
Other,"FISH,OTHER",NA
